0,102567
1,135230
2,152705
3,153506
4,155091
5,155816
6,156040
7,161604
8,202294
9,203742
11,205374
12,215593
13,312445
14,314330
15,317457
16,318442
17,332942
18,333598
19,675005
20,675222
21,679198
22,679349
23,683794
24,721630
25,721693
26,722927
27,723453
28,726001
29,1060031
30,1060890
31,1060994
32,1064618
33,1065092
34,1071839
35,1090592
36,1091927
37,1094134
38,1117242
39,1126831
40,1136205
41,1140148
42,1140469
43,1152419
44,1154450
45,1155261
46,1195816
47,1285607
48,1293395
49,1297924
50,1305649
51,1332644
52,1332730
53,1470134
54,1471784
55,1647545
56,1647859
57,1650215
58,2495058
59,2497864
60,2498388
61,2498627
62,2508132
63,2542469
64,2543582
65,2545556
66,2687246
67,2690320
68,2784917
69,2795538
70,2817371
71,2821494
72,2839742
73,2872884
74,2873246
75,2881758
76,2887362
77,2939304
78,2941580
79,2942316
80,2955124
81,3004355
82,3004418
83,3004773
84,3131403
85,3131420
86,3133082
87,3232472
88,3248454
89,3319165
90,3338752
91,3454805
92,3474996
93,3489792
94,3500618
95,3504354
96,3523755
97,3581410
98,3585241
99,3586024
