0,1526
1,490574
2,534252
3,535394
4,537991
5,538012
6,538416
7,538639
8,538951
9,540452
11,540575
12,540734
13,540977
14,541364
15,543323
16,545294
17,545561
18,545742
19,765527
20,765615
21,765631
22,765801
23,766101
24,767170
25,767186
26,767202
27,767250
28,767782
29,5647012
30,5649073
31,5649089
32,8935057
33,8936922
34,8942628
35,8942676
36,8943651
37,9005530
38,9007195
39,9008166
40,9008728
41,9016991
42,9017979
43,9028993
44,9038654
45,9048871
46,9050193
47,9064570
48,9070116
49,9070185
50,9287591
51,9290347
52,9290368
53,9290395
54,9293027
55,9297526
56,9297542
57,9297558
58,9307021
59,9323591
60,9323615
61,9326313
62,9328992
63,9330454
64,9332328
65,9332413
66,9333242
67,9333315
68,9423271
69,9423822
70,9424266
71,9455495
72,9455568
73,9456154
74,9456285
75,9458904
76,9485185
77,9485209
78,9485508
79,9492299
80,9492318
81,9500191
82,9500480
83,9500969
84,9548379
85,9549686
86,9561156
87,9572418
88,9585230
89,9586165
90,9637954
91,9638052
92,9643889
93,9661701
94,9666578
95,9666732
96,9667016
97,9668123
98,9707081
99,9707097
0,1526
0,1526
